x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.9,-0.306,-0.846,-3.679,1.086,-3.679,4.306,-0.705,-0.884,-3.851,4.205,-8.352,0
1.902,-0.279,-0.851,-3.677,1.092,-3.677,4.306,-0.708,-0.887,-3.844,4.209,-8.344,0
1.896,-0.287,-0.847,-3.68,1.084,-3.68,4.318,-0.692,-0.885,-3.839,4.215,-8.364,0
1.892,-0.301,-0.843,-3.677,1.083,-3.677,4.303,-0.715,-0.885,-3.838,4.219,-8.359,0
1.907,-0.289,-0.857,-3.684,1.081,-3.684,4.304,-0.747,-0.88,-3.851,4.212,-8.36,0
1.889,-0.294,-0.841,-3.673,1.085,-3.673,4.305,-0.799,-0.878,-3.845,4.219,-8.368,0
1.89,-0.289,-0.837,-3.678,1.08,-3.678,4.303,-0.879,-0.889,-3.85,4.217,-8.362,0
1.903,-0.293,-0.845,-3.676,1.081,-3.676,4.306,-0.857,-0.88,-3.833,4.211,-8.347,0
1.901,-0.291,-0.839,-3.686,1.078,-3.686,4.315,-0.723,-0.879,-3.837,4.216,-8.359,0
1.892,-0.297,-0.835,-3.68,1.073,-3.68,4.311,-0.673,-0.887,-3.85,4.222,-8.357,0
1.896,-0.299,-0.839,-3.679,1.087,-3.679,4.318,-0.639,-0.882,-3.852,4.214,-8.368,0
1.895,-0.288,-0.838,-3.677,1.087,-3.677,4.309,-0.544,-0.881,-3.831,4.209,-8.366,0
1.896,-0.293,-0.83,-3.68,1.076,-3.68,4.319,-0.569,-0.875,-3.835,4.227,-8.355,0
1.893,-0.302,-0.83,-3.683,1.083,-3.683,4.31,-0.545,-0.877,-3.839,4.22,-8.364,0
